year,district_en,crop_group,area_ha,source
2008,Esil,grain,438857,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2009,Esil,grain,481843,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2010,Esil,grain,471197,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2011,Esil,grain,426675,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2012,Esil,grain,454864,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2013,Esil,grain,437048,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2014,Esil,grain,438289,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2015,Esil,grain,450763,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2016,Esil,grain,453804,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2017,Esil,grain,435942,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2018,Esil,grain,440092,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2019,Esil,grain,446787,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2020,Esil,grain,419208,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2021,Esil,grain,446030,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2022,Esil,grain,446597,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2023,Esil,grain,452019,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2024,Esil,grain,442624,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2025,Esil,grain,430826,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2005,Kokshetau,grain,2709,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2006,Kokshetau,grain,615,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2007,Kokshetau,grain,540,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2008,Kokshetau,grain,2152,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
